timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1603123523787,2565,HTTP Request - GET Gogoat,200,OK,Ult. Thread Group - Gogoat 3-12,text,true,,60329,133,15,24,https://pokeapi.co/api/v2/pokemon/gogoat,1882,0,1261
1603123514158,12411,HTTP Request - GET Buizel,200,OK,Ult. Thread Group - Buizel 2-27,text,true,,127024,133,3,24,https://pokeapi.co/api/v2/pokemon/buizel,1987,0,1358
1603123525959,721,HTTP Request - GET Encounters,200,OK,Ult. Thread Group - Gogoat 3-4,text,true,,1208,141,15,23,https://pokeapi.co/api/v2/pokemon/673/encounters,721,0,0
1603123524139,2545,HTTP Request - GET Gogoat,200,OK,Ult. Thread Group - Gogoat 3-10,text,true,,60329,133,15,23,https://pokeapi.co/api/v2/pokemon/gogoat,1668,0,1244
1603123524051,2635,HTTP Request - GET Gogoat,200,OK,Ult. Thread Group - Gogoat 3-7,text,true,,60329,133,15,23,https://pokeapi.co/api/v2/pokemon/gogoat,1768,0,1303
1603123521540,5219,HTTP Request - GET Gogoat,200,OK,Ult. Thread Group - Gogoat 3-9,text,true,,60329,133,15,23,https://pokeapi.co/api/v2/pokemon/gogoat,3337,0,2556
1603123526082,755,HTTP Request - GET Encounters,200,OK,Ult. Thread Group - Charizard 4-1,text,true,,1207,139,6,23,https://pokeapi.co/api/v2/pokemon/6/encounters,755,0,0
1603123514849,12101,HTTP Request - GET Buizel,200,OK,Ult. Thread Group - Buizel 2-5,text,true,,127024,133,2,23,https://pokeapi.co/api/v2/pokemon/buizel,1842,0,1232
1603123520785,6173,HTTP Request - GET Charizard,200,OK,Ult. Thread Group - Charizard 4-4,text,true,,246042,136,6,22,https://pokeapi.co/api/v2/pokemon/charizard,3762,0,3096
1603123526248,763,HTTP Request - GET Encounters,200,OK,Ult. Thread Group - Gogoat 3-14,text,true,,1208,141,15,22,https://pokeapi.co/api/v2/pokemon/673/encounters,763,0,0
1603123526353,677,HTTP Request - GET Encounters,200,OK,Ult. Thread Group - Gogoat 3-12,text,true,,1208,141,15,22,https://pokeapi.co/api/v2/pokemon/673/encounters,677,0,0
1603123524410,2750,HTTP Request - GET Gogoat,200,OK,Ult. Thread Group - Gogoat 3-15,text,true,,60329,133,15,22,https://pokeapi.co/api/v2/pokemon/gogoat,1794,0,1194
1603123524506,2683,HTTP Request - GET Gogoat,200,OK,Ult. Thread Group - Gogoat 3-1,text,true,,60329,133,15,22,https://pokeapi.co/api/v2/pokemon/gogoat,1753,0,1189
1603123524578,2618,HTTP Request - GET Gogoat,200,OK,Ult. Thread Group - Gogoat 3-8,text,true,,60329,133,15,22,https://pokeapi.co/api/v2/pokemon/gogoat,1759,0,1150
1603123523290,3920,HTTP Request - GET Charizard,200,OK,Ult. Thread Group - Charizard 4-6,text,true,,246042,136,6,22,https://pokeapi.co/api/v2/pokemon/charizard,2069,0,1580
1603123526685,638,HTTP Request - GET Encounters,200,OK,Ult. Thread Group - Gogoat 3-10,text,true,,1208,141,15,22,https://pokeapi.co/api/v2/pokemon/673/encounters,638,0,0
1603123526761,587,HTTP Request - GET Encounters,200,OK,Ult. Thread Group - Gogoat 3-9,text,true,,1208,141,15,22,https://pokeapi.co/api/v2/pokemon/673/encounters,587,0,0
1603123526688,660,HTTP Request - GET Encounters,200,OK,Ult. Thread Group - Gogoat 3-7,text,true,,1208,141,15,22,https://pokeapi.co/api/v2/pokemon/673/encounters,660,0,0
1603123524937,2450,HTTP Request - GET Gogoat,200,OK,Ult. Thread Group - Gogoat 3-3,text,true,,60329,133,15,22,https://pokeapi.co/api/v2/pokemon/gogoat,1732,0,982
1603123521417,6042,HTTP Request - GET Buizel,200,OK,Ult. Thread Group - Buizel 2-22,text,true,,127024,133,1,22,https://pokeapi.co/api/v2/pokemon/buizel,3378,0,2573
1603123526962,517,HTTP Request - GET Encounters,200,OK,Ult. Thread Group - Charizard 4-4,text,true,,1207,139,6,21,https://pokeapi.co/api/v2/pokemon/6/encounters,517,0,0
1603123525027,2527,HTTP Request - GET Gogoat,200,OK,Ult. Thread Group - Gogoat 3-5,text,true,,60329,133,15,21,https://pokeapi.co/api/v2/pokemon/gogoat,1949,0,1203
1603123527161,410,HTTP Request - GET Encounters,200,OK,Ult. Thread Group - Gogoat 3-15,text,true,,1208,141,15,21,https://pokeapi.co/api/v2/pokemon/673/encounters,410,0,0
1603123527190,448,HTTP Request - GET Encounters,200,OK,Ult. Thread Group - Gogoat 3-1,text,true,,1208,141,15,21,https://pokeapi.co/api/v2/pokemon/673/encounters,448,0,0
1603123527198,451,HTTP Request - GET Encounters,200,OK,Ult. Thread Group - Gogoat 3-8,text,true,,1208,141,15,21,https://pokeapi.co/api/v2/pokemon/673/encounters,451,0,0
1603123527214,451,HTTP Request - GET Encounters,200,OK,Ult. Thread Group - Charizard 4-6,text,true,,1207,139,6,21,https://pokeapi.co/api/v2/pokemon/6/encounters,451,0,0
1603123527388,435,HTTP Request - GET Encounters,200,OK,Ult. Thread Group - Gogoat 3-3,text,true,,1208,141,15,21,https://pokeapi.co/api/v2/pokemon/673/encounters,435,0,0
1603123525509,2364,HTTP Request - GET Gogoat,200,OK,Ult. Thread Group - Gogoat 3-13,text,true,,60329,133,15,21,https://pokeapi.co/api/v2/pokemon/gogoat,1821,0,1208
1603123527555,478,HTTP Request - GET Encounters,200,OK,Ult. Thread Group - Gogoat 3-5,text,true,,1208,141,15,21,https://pokeapi.co/api/v2/pokemon/673/encounters,478,0,0
1603123525786,2259,HTTP Request - GET Gogoat,200,OK,Ult. Thread Group - Gogoat 3-11,text,true,,60329,133,15,21,https://pokeapi.co/api/v2/pokemon/gogoat,1722,0,1306
1603123524471,3689,HTTP Request - GET Charizard,200,OK,Ult. Thread Group - Charizard 4-3,text,true,,246042,136,6,21,https://pokeapi.co/api/v2/pokemon/charizard,1799,0,1194
1603123527875,563,HTTP Request - GET Encounters,200,OK,Ult. Thread Group - Gogoat 3-13,text,true,,1208,141,15,22,https://pokeapi.co/api/v2/pokemon/673/encounters,563,0,0
1603123528047,493,HTTP Request - GET Encounters,200,OK,Ult. Thread Group - Gogoat 3-11,text,true,,1208,141,15,22,https://pokeapi.co/api/v2/pokemon/673/encounters,493,0,0
1603123526197,2419,HTTP Request - GET Gogoat,200,OK,Ult. Thread Group - Gogoat 3-2,text,true,,60329,133,15,22,https://pokeapi.co/api/v2/pokemon/gogoat,1654,0,1274
1603123526284,2344,HTTP Request - GET Gogoat,200,OK,Ult. Thread Group - Gogoat 3-6,text,true,,60329,133,15,22,https://pokeapi.co/api/v2/pokemon/gogoat,1605,0,1210
1603123525010,3650,HTTP Request - GET Charizard,200,OK,Ult. Thread Group - Charizard 4-2,text,true,,246042,136,7,22,https://pokeapi.co/api/v2/pokemon/charizard,1949,0,1193
1603123528165,578,HTTP Request - GET Encounters,200,OK,Ult. Thread Group - Charizard 4-3,text,true,,1207,139,7,22,https://pokeapi.co/api/v2/pokemon/6/encounters,578,0,0
1603123526680,2219,HTTP Request - GET Gogoat,200,OK,Ult. Thread Group - Gogoat 3-4,text,true,,60329,133,15,22,https://pokeapi.co/api/v2/pokemon/gogoat,1619,0,1113
1603123525789,3249,HTTP Request - GET Charizard,200,OK,Ult. Thread Group - Charizard 4-5,text,true,,246042,136,7,22,https://pokeapi.co/api/v2/pokemon/charizard,1799,0,1316
1603123527011,2134,HTTP Request - GET Gogoat,200,OK,Ult. Thread Group - Gogoat 3-14,text,true,,60329,133,15,22,https://pokeapi.co/api/v2/pokemon/gogoat,1470,0,972
1603123528617,573,HTTP Request - GET Encounters,200,OK,Ult. Thread Group - Gogoat 3-2,text,true,,1208,141,15,22,https://pokeapi.co/api/v2/pokemon/673/encounters,573,0,0
1603123528629,562,HTTP Request - GET Encounters,200,OK,Ult. Thread Group - Gogoat 3-6,text,true,,1208,141,15,22,https://pokeapi.co/api/v2/pokemon/673/encounters,562,0,0
1603123527030,2160,HTTP Request - GET Gogoat,200,OK,Ult. Thread Group - Gogoat 3-12,text,true,,60329,133,15,22,https://pokeapi.co/api/v2/pokemon/gogoat,1470,0,975
1603123528665,547,HTTP Request - GET Encounters,200,OK,Ult. Thread Group - Charizard 4-2,text,true,,1207,139,7,22,https://pokeapi.co/api/v2/pokemon/6/encounters,546,0,0
1603123527323,2239,HTTP Request - GET Gogoat,200,OK,Ult. Thread Group - Gogoat 3-10,text,true,,60329,133,15,22,https://pokeapi.co/api/v2/pokemon/gogoat,1537,0,977
1603123528901,669,HTTP Request - GET Encounters,200,OK,Ult. Thread Group - Gogoat 3-4,text,true,,1208,141,15,22,https://pokeapi.co/api/v2/pokemon/673/encounters,669,0,0
1603123527349,2264,HTTP Request - GET Gogoat,200,OK,Ult. Thread Group - Gogoat 3-9,text,true,,60329,133,15,22,https://pokeapi.co/api/v2/pokemon/gogoat,1565,0,1017
